listed_company_id,content,min_required_share,max_required_share,memo
1766,"(1)｢東建多度カントリークラブ・名古屋｣｢東建塩河カントリー倶楽部｣優待または(2)｢ハートマークショップ｣優待割引券 (1)株主優待平日1年カードまたは(2)5,000円相当",1000,2000,"※プレー共通優待券はビジターフィーより5,000円割引（平日のみ利用可）、1年カードは上記ゴルフ場よりいずれかを選択（希望者に限る）、1年間有効※1年カード制度の利用には、要事前審査"
1766,"(1)｢東建多度カントリークラブ・名古屋｣｢東建塩河カントリー倶楽部｣優待または(2)｢ハートマークショップ｣優待割引券 (1)株主優待全日1年カードまたは(2)6,000円相当",2000,-1,"※プレー共通優待券はビジターフィーより5,000円割引（平日のみ利用可）、1年カードは上記ゴルフ場よりいずれかを選択（希望者に限る）、1年間有効※1年カード制度の利用には、要事前審査"
1766,｢ホテル多度温泉｣優待券 30%割引券,100,1000,※希望者に限る
1766,｢ホテル多度温泉｣優待券 ペア無料宿泊券（1泊分）,1000,-1,※希望者に限る
1766,｢東建ホームメイトカップ｣入場券2枚,100,100,-
1766,自社とアパート・賃貸マンションの工事請負契約を締結した際に住設機器のグレードアップオプション付与 本体工事請負金額の0.5%相当のグレードアップ商品,100,1000,（随時）
1766,自社とアパート・賃貸マンションの工事請負契約を締結した際に住設機器のグレードアップオプション付与 本体工事請負金額の1.0%相当のグレードアップ商品,1000,2000,（随時）
1766,自社とアパート・賃貸マンションの工事請負契約を締結した際に住設機器のグレードアップオプション付与 本体工事請負金額の1.5%相当のグレードアップ商品,2000,-1,（随時）
1766,自社を介してアパート・賃貸マンションの賃貸借契約を締結した際に仲介手数料割引（株主本人の場合は自社管理物件100%割引・一般物件50%割引、三親等までの親族の場合は自社管理物件70%割引・一般物件30%割引）,100,-1,（随時）
1768,"クオカード 1,000円相当",100,1000,-
1768,"クオカード 2,000円相当",1000,-1,-
1780,"3,000円相当の地場商品 1つ",100,300,※食品等複数より選択
1780,"3,000円相当の地場商品 2つ",300,1000,※食品等複数より選択
1780,"3,000円相当の地場商品 3つ",1000,-1,※食品等複数より選択
1783,ゴルフ場・ホテル優待料金利用サービス,100,-1,-
1788,"クオカード 1,500円相当",100,1000,※1年以上継続保有の場合金額は2倍
1788,"クオカード 3,000円相当",1000,-1,※1年以上継続保有の場合金額は2倍
1789,"1,000円相当のクオカード",100,-1,-
1795,｢サマージャンボ宝くじ｣10枚,600,-1,（3月のみ）
1795,｢年末ジャンボ宝くじ｣10枚,200,-1,（9月のみ）
1801,"(1)｢軽井沢高原ゴルフ倶楽部｣優待クーポン券（2,000円）(2)｢軽井沢高原ゴルフ倶楽部｣優待クーポン券（5,000円）(3)自社グループ会社工事請負代金・仲介手数料等割引クーポン券（10,000円）(4)自社グループ会社工事請負代金・仲介手数料等割引クーポン券（30,000円）(5)簡易地震リスク診断申込書 (1)2枚および(3)3枚",100,1000,"※(1)・(2)は1枚につき平日は最大4名、土日祝日は1名のプレー代を割引（平日宿泊利用の場合は1組2プレー代を割引）。(5)はチェックシートを記入することにより簡易レポートを提供（現地調査は対象外）※3年以上継続保有の場合、(3)・(4)は60,000円増"
1801,"(1)｢軽井沢高原ゴルフ倶楽部｣優待クーポン券（2,000円）(2)｢軽井沢高原ゴルフ倶楽部｣優待クーポン券（5,000円）(3)自社グループ会社工事請負代金・仲介手数料等割引クーポン券（10,000円）(4)自社グループ会社工事請負代金・仲介手数料等割引クーポン券（30,000円）(5)簡易地震リスク診断申込書 (2)2枚および(4)3枚および(5)1枚",1000,-1,"※(1)・(2)は1枚につき平日は最大4名、土日祝日は1名のプレー代を割引（平日宿泊利用の場合は1組2プレー代を割引）。(5)はチェックシートを記入することにより簡易レポートを提供（現地調査は対象外）※3年以上継続保有の場合、(3)・(4)は60,000円増"
1803,自社木工製品,1000,-1,"※20年は1,000株以上5,000株未満の株主には干支柄コースター2個を贈呈、5,000株以上10,000株未満の株主は干支柄コースター3個・自立式ミニまな板等3点より1点選択、10,000株以上の株主は干支柄コースター4個・自立式ミニまな板・置き時計等7点より1点選択※優待品に代えて社会貢献活動団体への寄付選択可"
1808,自社グループサービス利用券,100,100,（3月のみ）※自社子会社室内リフォーム工事代金（税抜）3%割引（100万円以上の工事に限り利用可）または自社子会社不動産売買仲介手数料（税抜）5%割引または自社子会社高齢者住宅・老人ホーム入居一時金1%割引のいずれか1つを利用可。有効期間：1年間
1808,滋賀県上田上産コシヒカリ（5ｋｇまたは10ｋｇ）20%割引販売,100,-1,（9月のみ）※購入者が希望する場合は米ぬかを送付※有効期間：12月上旬〜翌年3月末
1828,500円相当のクオカード,100,-1,-
1848,クオカード 500円相当,100,1000,※1年以上継続保有の場合金額は2倍
1848,"クオカード 1,500円相当",1000,-1,※1年以上継続保有の場合金額は2倍
1860,｢ホテル＆リゾート サンシャイン サザンセト｣・｢リヴェルト京都鴨川｣共通宿泊割引券（最大30%割引）2枚,1000,1000,-
1860,商品,1000,-1,※ジャム、みかん缶詰、山口うまいものセットより1点選択
1867,"クオカード 1,000円相当",100,500,"※1年以上継続保有の場合クオカードは1,000円増"
1867,"クオカード 2,000円相当",500,-1,"※1年以上継続保有の場合クオカードは1,000円増"
1873,自社子会社商品（カレーセット）,1000,-1,-
1878,建築工事請負代金キャッシュバック（30万円）,100,100,-
1878,分譲マンション購入金額キャッシュバック（30万円）,100,100,-
1878,紹介報奨金10%アップ,100,100,-
1878,建築工事オプション設備サービス（上限30万円）,100,100,-
1878,賃貸仲介手数料無料券1枚,100,100,-
1878,"全国共通ギフト券 1,000円相当",100,300,"（3月のみ）※ギフト券に代えて社会貢献活動への寄付選択可※上記に加え、100株以上を1年以上継続保有の場合、お茶または水（350ｍｌ入24本）、1,000円相当の全国共通ギフト券、1,000円相当の寄付より1点選択、300株以上を3年以上継続保有の場合、｢ストリングスホテル東京インターコンチネンタル｣宿泊半額割引券（1泊分）、｢ル・メリディアン・クアラルンプール｣宿泊半額割引券（3泊分）、10,000円相当の全国共通ギフト券、10,000円相当の寄付より1点選択"
1878,"全国共通ギフト券 3,000円相当",300,500,"（3月のみ）※ギフト券に代えて社会貢献活動への寄付選択可※上記に加え、100株以上を1年以上継続保有の場合、お茶または水（350ｍｌ入24本）、1,000円相当の全国共通ギフト券、1,000円相当の寄付より1点選択、300株以上を3年以上継続保有の場合、｢ストリングスホテル東京インターコンチネンタル｣宿泊半額割引券（1泊分）、｢ル・メリディアン・クアラルンプール｣宿泊半額割引券（3泊分）、10,000円相当の全国共通ギフト券、10,000円相当の寄付より1点選択"
1878,"全国共通ギフト券 5,000円相当",500,1000,"（3月のみ）※ギフト券に代えて社会貢献活動への寄付選択可※上記に加え、100株以上を1年以上継続保有の場合、お茶または水（350ｍｌ入24本）、1,000円相当の全国共通ギフト券、1,000円相当の寄付より1点選択、300株以上を3年以上継続保有の場合、｢ストリングスホテル東京インターコンチネンタル｣宿泊半額割引券（1泊分）、｢ル・メリディアン・クアラルンプール｣宿泊半額割引券（3泊分）、10,000円相当の全国共通ギフト券、10,000円相当の寄付より1点選択"
1878,"全国共通ギフト券 10,000円相当",1000,-1,"（3月のみ）※ギフト券に代えて社会貢献活動への寄付選択可※上記に加え、100株以上を1年以上継続保有の場合、お茶または水（350ｍｌ入24本）、1,000円相当の全国共通ギフト券、1,000円相当の寄付より1点選択、300株以上を3年以上継続保有の場合、｢ストリングスホテル東京インターコンチネンタル｣宿泊半額割引券（1泊分）、｢ル・メリディアン・クアラルンプール｣宿泊半額割引券（3泊分）、10,000円相当の全国共通ギフト券、10,000円相当の寄付より1点選択"
1899,"2,000円相当のクオカード",200,-1,"※1年以上継続保有（株主名簿に連続3回以上記載）の場合3,000円相当を追加"
1904,"3,000円相当のクオカード",100,-1,-
1909,"防災用品、1,000円相当のクオカード等9点より1点選択",100,-1,※優待品に代えて社会貢献活動（国内災害義援金）への寄付選択可
1925,"優待券（1,000円） 1枚",100,300,※｢ダイワロイヤルホテル｣、｢ダイワロイヤルゴルフ｣、｢ロイヤルホームセンター｣、｢ダイワロイネットホテルズ｣、｢ダイワロイヤルホテルシティ｣、｢ラ・ジェント・ホテル｣、｢スポーツクラブＮＡＳ｣、｢大阪第一ホテル｣の各施設、自社グループ直営レストラン、株主優待専用グルメギフトおよび社会貢献活動への寄付で利用可
1925,"優待券（1,000円） 3枚",300,500,※｢ダイワロイヤルホテル｣、｢ダイワロイヤルゴルフ｣、｢ロイヤルホームセンター｣、｢ダイワロイネットホテルズ｣、｢ダイワロイヤルホテルシティ｣、｢ラ・ジェント・ホテル｣、｢スポーツクラブＮＡＳ｣、｢大阪第一ホテル｣の各施設、自社グループ直営レストラン、株主優待専用グルメギフトおよび社会貢献活動への寄付で利用可
1925,"優待券（1,000円） 5枚",500,1000,※｢ダイワロイヤルホテル｣、｢ダイワロイヤルゴルフ｣、｢ロイヤルホームセンター｣、｢ダイワロイネットホテルズ｣、｢ダイワロイヤルホテルシティ｣、｢ラ・ジェント・ホテル｣、｢スポーツクラブＮＡＳ｣、｢大阪第一ホテル｣の各施設、自社グループ直営レストラン、株主優待専用グルメギフトおよび社会貢献活動への寄付で利用可
1925,"優待券（1,000円） 10枚",1000,3000,※｢ダイワロイヤルホテル｣、｢ダイワロイヤルゴルフ｣、｢ロイヤルホームセンター｣、｢ダイワロイネットホテルズ｣、｢ダイワロイヤルホテルシティ｣、｢ラ・ジェント・ホテル｣、｢スポーツクラブＮＡＳ｣、｢大阪第一ホテル｣の各施設、自社グループ直営レストラン、株主優待専用グルメギフトおよび社会貢献活動への寄付で利用可
1925,"優待券（1,000円） 30枚",3000,5000,※｢ダイワロイヤルホテル｣、｢ダイワロイヤルゴルフ｣、｢ロイヤルホームセンター｣、｢ダイワロイネットホテルズ｣、｢ダイワロイヤルホテルシティ｣、｢ラ・ジェント・ホテル｣、｢スポーツクラブＮＡＳ｣、｢大阪第一ホテル｣の各施設、自社グループ直営レストラン、株主優待専用グルメギフトおよび社会貢献活動への寄付で利用可
1925,"優待券（1,000円） 50枚",5000,-1,※｢ダイワロイヤルホテル｣、｢ダイワロイヤルゴルフ｣、｢ロイヤルホームセンター｣、｢ダイワロイネットホテルズ｣、｢ダイワロイヤルホテルシティ｣、｢ラ・ジェント・ホテル｣、｢スポーツクラブＮＡＳ｣、｢大阪第一ホテル｣の各施設、自社グループ直営レストラン、株主優待専用グルメギフトおよび社会貢献活動への寄付で利用可
1928,新潟県魚沼産コシヒカリ新米5ｋｇ,1000,-1,※発送は10月下旬〜11月上旬ごろ
1951,"1,000円相当のクオカード",1000,-1,"※3年以上継続保有の場合2,000円相当"
1952,"2,000円相当のカタログギフト",300,300,（3月のみ）
1952,"1,000円相当のクオカード",300,-1,（9月のみ）※1枚につき50円を社会貢献活動に寄付※2年以上継続保有（3月および9月の株主名簿に連続5回以上記載）した株主のみに贈呈
1965,静岡県産新茶 1パック,100,1000,-
1965,静岡県産新茶 2パック,1000,-1,-
1976,"ＪＣＢギフトカード 1,000円相当",200,500,"※優待品に代えて社会貢献活動団体への寄付選択可※2年以上継続保有の場合、500株以上には1,000円相当を追加"
1976,"ＪＣＢギフトカード 2,000円相当",500,1000,"※優待品に代えて社会貢献活動団体への寄付選択可※2年以上継続保有の場合、500株以上には1,000円相当を追加"
1976,"ＪＣＢギフトカード 3,000円相当",1000,-1,"※優待品に代えて社会貢献活動団体への寄付選択可※2年以上継続保有の場合、500株以上には1,000円相当を追加"
1992,"1,000円相当のクオカード",100,-1,-
2001,自社グループ会社指定商品（アマニ油・サプリメント・ワイン等）の優待価格販売,0,-1,-
2001,｢ジュンコ・フローラ・スクール｣無料体験・プレコース（小麦粘土でつくる｢パンの花｣レッスン）および入会金無料,100,500,-
2001,"3,000円相当の自社商品詰合せ（パスタ等）",500,500,（3月のみ）
2001,"1,500円相当の自社商品詰合せ（パスタ等）",500,-1,（9月のみ）※1年以上継続保有（株主名簿に同一株主番号で連続3回以上記載）した株主のみに贈呈
2002,自社グループ会社製品,500,-1,-
2003,"3,000円相当の自社関連製品（乾麺）",100,-1,-
2004,"自社商品（家庭用商品詰合せ） 1,000円相当",100,200,-
2004,"自社商品（家庭用商品詰合せ） 3,000円相当",200,1000,-
2004,"自社商品（家庭用商品詰合せ） 5,000円相当",1000,-1,-
2009,"4,000円相当の自社小麦粉を使用した特製そうめん（非売品）1箱",500,-1,-
2053,"クオカード 1,000円相当",500,1000,"（3月のみ）※1,000株以上を1年以上継続保有（3月および9月の株主名簿に連続3回以上記載）の場合3,000円相当"
2053,"クオカード 2,000円相当",1000,-1,"（3月のみ）※1,000株以上を1年以上継続保有（3月および9月の株主名簿に連続3回以上記載）の場合3,000円相当"
2053,お米 3ｋｇ,500,1000,（9月のみ）
2053,お米 5ｋｇ,1000,-1,（9月のみ）
2109,"自社製品等（砂糖等）または金券等 3,000円相当の自社製品等（砂糖等）",100,1000,※優待品に代えて社会貢献活動団体への寄付選択可
2109,"自社製品等（砂糖等）または金券等 3,000円相当の自社製品等（砂糖等）および2,000円相当の金券等",1000,-1,※優待品に代えて社会貢献活動団体への寄付選択可
2112,"3,500円相当の自社製品（甘味料等）",1000,-1,-
2114,"自社製品（砂糖等） 1,000円相当",100,1000,-
2114,"自社製品（砂糖等） 3,000円相当",1000,-1,-
2117,"1,000円相当の自社製品（砂糖等）",100,-1,"※3年以上継続保有（3月および9月の株主名簿に連続7回以上記載）の場合2,000円相当"
2127,新潟県魚沼産コシヒカリ5ｋｇ,100,-1,※1年以上継続保有の株主のみに贈呈
2139,"1,000円相当のクオカード",100,-1,-
2153,"クオカード 1,000円相当",100,1000,-
2153,"クオカード 3,000円相当",1000,5000,-
2153,"クオカード 5,000円相当",5000,-1,-
2157,"株主優待券 2,000円相当",100,400,※3年以上継続保有の場合金額は2倍。自社グループ運営カラオケ・温浴施設で利用可
2157,"株主優待券 5,000円相当",400,1000,※3年以上継続保有の場合金額は2倍。自社グループ運営カラオケ・温浴施設で利用可
2157,"株主優待券 10,000円相当",1000,-1,※3年以上継続保有の場合金額は2倍。自社グループ運営カラオケ・温浴施設で利用可
2159,"株主優待ポイント付与 2,500ポイント",800,900,※ポイントに応じて自社Ｗｅｂサイトにて電化製品・食品等と交換可。1ポイントで1円相当
2159,"株主優待ポイント付与 4,000ポイント",900,1000,※ポイントに応じて自社Ｗｅｂサイトにて電化製品・食品等と交換可。1ポイントで1円相当
2159,"株主優待ポイント付与 6,000ポイント",1000,2000,※ポイントに応じて自社Ｗｅｂサイトにて電化製品・食品等と交換可。1ポイントで1円相当
2159,"株主優待ポイント付与 15,000ポイント",2000,-1,※ポイントに応じて自社Ｗｅｂサイトにて電化製品・食品等と交換可。1ポイントで1円相当
2170,"クオカード 2,000円相当",1000,2500,※1年以上継続保有した株主のみに贈呈。2年以上3年未満継続保有の場合金額は2倍、3年以上5年未満は3倍、5年以上は4倍
2170,"クオカード 5,000円相当",2500,5000,※1年以上継続保有した株主のみに贈呈。2年以上3年未満継続保有の場合金額は2倍、3年以上5年未満は3倍、5年以上は4倍
2170,"クオカード 10,000円相当",5000,10000,※1年以上継続保有した株主のみに贈呈。2年以上3年未満継続保有の場合金額は2倍、3年以上5年未満は3倍、5年以上は4倍
2170,"クオカード 20,000円相当",10000,15000,※1年以上継続保有した株主のみに贈呈。2年以上3年未満継続保有の場合金額は2倍、3年以上5年未満は3倍、5年以上は4倍
2170,"クオカード 30,000円相当",15000,20000,※1年以上継続保有した株主のみに贈呈。2年以上3年未満継続保有の場合金額は2倍、3年以上5年未満は3倍、5年以上は4倍
2170,"クオカード 40,000円相当",20000,-1,※1年以上継続保有した株主のみに贈呈。2年以上3年未満継続保有の場合金額は2倍、3年以上5年未満は3倍、5年以上は4倍
2173,500円相当のオリジナル・クオカード,100,-1,"※6カ月以上継続保有の株主のみに贈呈。1,000株以上を3年以上継続保有の株主には2,000円相当のクオカードを贈呈"
2178,"クオカード 1,000円相当",400,2000,-
2178,"クオカード 5,000円相当",2000,-1,-
2179,"1,000円相当のクオカード",100,-1,-
2180,自社運営レストラン優待券（指定メニュー1品およびソフトドリンク1杯無料） 2枚,200,500,※国内｢ｂｉｌｌｓ｣・海外一部店舗で利用可
2180,自社運営レストラン優待券（指定メニュー1品およびソフトドリンク1杯無料） 5枚,500,-1,※国内｢ｂｉｌｌｓ｣・海外一部店舗で利用可
2186,クオカード 500円相当,100,1000,-
2186,"クオカード 2,000円相当",1000,-1,-
2193,自社サイトプレミアムサービス利用料6カ月間無料クーポン1枚,100,100,※1年以上継続保有の場合1年間無料クーポン1枚
2193,株主専用紹介クーポン（プレミアムサービス利用料6カ月間無料）3枚,100,-1,-
2196,自社経営レストラン割引券（30%割引）,100,100,-
2196,30万円相当のウェディングアイテムチケット,100,300,-
2196,"クーポンコード 2,000円相当",300,500,※自社オンラインギフトショップで利用可
2196,"クーポンコード 4,000円相当",500,1000,※自社オンラインギフトショップで利用可
2196,"クーポンコード 10,000円相当",1000,-1,※自社オンラインギフトショップで利用可
2198,"自社特選品（菓子） 1,500円相当",100,1000,-
2198,"自社特選品（菓子） 3,000円相当",1000,5000,-
2198,"自社特選品（菓子） 5,000円相当",5000,-1,-
2198,食事等優待券3枚,100,-1,※｢ラ・ロシェル｣等で利用可
2204,"(1)自社商品（菓子・食品等）(2)店舗15%割引券（1冊20枚綴）1冊および通信販売15%割引（20回分）(3)店舗15%割引券（1冊20枚綴）2冊および通信販売15%割引（20回分） (1)2,000円相当または(2)",100,300,"※店舗割引券は指定店舗に限り特殊商品を除く買物・飲食に利用可※優待品に代えて社会貢献活動団体への寄付選択可。ただし、500株以上の場合は4,000円相当の寄付および(2)"
2204,"(1)自社商品（菓子・食品等）(2)店舗15%割引券（1冊20枚綴）1冊および通信販売15%割引（20回分）(3)店舗15%割引券（1冊20枚綴）2冊および通信販売15%割引（20回分） (1)3,000円相当または(3)",300,500,"※店舗割引券は指定店舗に限り特殊商品を除く買物・飲食に利用可※優待品に代えて社会貢献活動団体への寄付選択可。ただし、500株以上の場合は4,000円相当の寄付および(2)"
2204,"(1)自社商品（菓子・食品等）(2)店舗15%割引券（1冊20枚綴）1冊および通信販売15%割引（20回分）(3)店舗15%割引券（1冊20枚綴）2冊および通信販売15%割引（20回分） (1)3,000円相当および(3)または(1)5,000円相当",500,-1,"※店舗割引券は指定店舗に限り特殊商品を除く買物・飲食に利用可※優待品に代えて社会貢献活動団体への寄付選択可。ただし、500株以上の場合は4,000円相当の寄付および(2)"
2206,"自社グループ商品（菓子等） 1,000円相当",100,500,"※継続保有（権利確定時点で中間期末および決算期末の株主名簿に同一株主番号で連続7回以上記載）の場合、100株以上500株未満の株主は1,500円相当、500株以上1,000株未満は3,000円相当、1,000株以上は6,000円相当を贈呈"
2206,"自社グループ商品（菓子等） 2,000円相当",500,1000,"※継続保有（権利確定時点で中間期末および決算期末の株主名簿に同一株主番号で連続7回以上記載）の場合、100株以上500株未満の株主は1,500円相当、500株以上1,000株未満は3,000円相当、1,000株以上は6,000円相当を贈呈"
2206,"自社グループ商品（菓子等） 4,000円相当",1000,-1,"※継続保有（権利確定時点で中間期末および決算期末の株主名簿に同一株主番号で連続7回以上記載）の場合、100株以上500株未満の株主は1,500円相当、500株以上1,000株未満は3,000円相当、1,000株以上は6,000円相当を贈呈"
2207,"自社またはグループ会社製品詰合せ（菓子等） 1,500円相当",100,1000,-
2207,"自社またはグループ会社製品詰合せ（菓子等） 3,000円相当",1000,5000,-
2207,"自社またはグループ会社製品詰合せ（菓子等） 5,000円相当",5000,-1,-
2208,"自社商品詰合せ（菓子・飲料等） 1,000円相当",100,1000,※6カ月以上継続保有（3月および9月の株主名簿に同一株主番号で連続2回以上記載）した株主のみに贈呈
2208,"自社商品詰合せ（菓子・飲料等） 2,500円相当",1000,5000,※6カ月以上継続保有（3月および9月の株主名簿に同一株主番号で連続2回以上記載）した株主のみに贈呈
2208,新潟県産コシヒカリ5ｋｇ,5000,-1,※6カ月以上継続保有（3月および9月の株主名簿に同一株主番号で連続2回以上記載）した株主のみに贈呈
2209,自社グループ製品（和菓子等） 500円相当,100,500,-
2209,"自社グループ製品（和菓子等） 1,500円相当",500,1500,-
2209,"自社グループ製品（和菓子等） 3,000円相当",1500,-1,-
2211,優待券（500円） 6枚,100,500,※自社店舗（一部除く）で利用可
2211,優待券（500円） 8枚,500,1000,※自社店舗（一部除く）で利用可
2211,優待券（500円） 12枚,1000,-1,※自社店舗（一部除く）で利用可
2212,"3,000円相当の自社製品詰合せ（菓子・デザート等）",1000,-1,-
2215,自社グループ会社商品詰合せ（レーズンサンド等）,100,-1,-
2216,"自社製品（カンロ飴・のど飴等） 1,000円相当",100,600,※優待品に代えて社会貢献活動団体への寄付選択可
2216,"自社製品（カンロ飴・のど飴等） 2,000円相当",600,1000,※優待品に代えて社会貢献活動団体への寄付選択可
2216,"自社製品（カンロ飴・のど飴等） 3,000円相当",1000,-1,※優待品に代えて社会貢献活動団体への寄付選択可
2217,"(1)20%割引券（1冊20枚綴）または(2)自社商品 (1)5冊または(2)2,000円相当",100,500,"※(1)は1枚につき利用上限金額1,000円（税抜）。指定店舗（20年4月1日現在97店舗）および通信販売で利用可※6カ月以上継続保有の株主のみに贈呈。3年以上継続保有の場合、(1)または(2)2種類より2点選択"
2217,"(1)20%割引券（1冊20枚綴）または(2)自社商品 (1)10冊または(2)3,000円相当",500,-1,"※(1)は1枚につき利用上限金額1,000円（税抜）。指定店舗（20年4月1日現在97店舗）および通信販売で利用可※6カ月以上継続保有の株主のみに贈呈。3年以上継続保有の場合、(1)または(2)2種類より2点選択"
